"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp60","bart_s-learner",1,200,3,0.99,NA,NA,NA,NA,0.0600910472538385,0.95,0.183157317442864
"dgp60","bart_s-learner",1,200,10,0.75,NA,NA,NA,NA,0.0603655227954043,0.95,0.184027292742333
"dgp60","bart_s-learner",2,75,3,0.9,NA,NA,NA,NA,0.0617934500832759,0.9,0.179402794235858
"dgp60","bart_s-learner",2,75,3,0.99,NA,NA,NA,NA,0.0617448184567306,0.9,0.179647913505461
"dgp60","bart_s-learner",2,75,10,0.75,NA,NA,NA,NA,0.0615497176373399,0.9,0.179878491538379
"dgp60","bart_s-learner",2,100,3,0.9,NA,NA,NA,NA,0.0624197504499998,0.9,0.179046231539586
"dgp60","bart_s-learner",2,100,3,0.99,NA,NA,NA,NA,0.0627023186683231,0.9,0.179448048832981
"dgp60","bart_s-learner",2,100,10,0.75,NA,NA,NA,NA,0.0626953593277634,0.9,0.180059736968824
"dgp60","bart_s-learner",2,200,3,0.9,NA,NA,NA,NA,0.0652386753578411,0.85,0.179315401222347
"dgp60","bart_s-learner",2,200,3,0.99,NA,NA,NA,NA,0.0651086668414608,0.9,0.180141176982091
"dgp60","bart_s-learner",2,200,10,0.75,NA,NA,NA,NA,0.065307058881582,0.9,0.178738038581828
"dgp60","bart_s-learner",3,75,3,0.9,NA,NA,NA,NA,0.0687086954902674,0.75,0.178057755561297
"dgp60","bart_s-learner",3,75,3,0.99,NA,NA,NA,NA,0.0687649156441085,0.75,0.177661089330612
"dgp60","bart_s-learner",3,75,10,0.75,NA,NA,NA,NA,0.0685844243985597,0.75,0.178897059987386
"dgp60","bart_s-learner",3,100,3,0.9,NA,NA,NA,NA,0.0708386922481634,0.7,0.17714481016949
"dgp60","bart_s-learner",3,100,3,0.99,NA,NA,NA,NA,0.0708181449630411,0.7,0.178159242907117
